season,week,picked,opponent,pick_spread,p,covered,is_push,is_fav_pick
2019,16,NYJ,HOU,3.0,0.5832232236862183,1,False,False
2019,16,JAX,IND,7.5,0.543908417224884,0,False,False
2019,16,LA,SF,7.0,0.5490669012069702,1,False,False
2019,16,LAC,LV,-7.5,0.5124694108963013,0,False,True
2019,16,NO,TEN,-3.5,0.6574962735176086,1,False,True
2019,16,NYG,WAS,-1.0,0.8185876607894897,1,False,True
2019,16,PIT,TB,-3.0,0.46010011434555054,0,True,True
2019,17,LA,ARI,-7.0,0.7400811910629272,0,True,True
2019,17,TB,ATL,-1.0,0.4525381922721863,0,False,True
2019,17,BAL,PIT,2.0,0.4731191098690033,1,False,False
2019,17,NYJ,BUF,-1.5,0.5844547152519226,1,False,True
2019,17,CAR,GB,13.5,0.6615661978721619,0,True,False
2019,17,CHI,MIN,-5.5,0.8244383335113525,0,False,True
2019,17,CLE,CIN,-2.5,0.7583730816841125,0,False,True
2019,17,WAS,DAL,13.0,0.832610547542572,0,False,False
2019,17,LV,DEN,5.5,0.6587427258491516,1,False,False
2019,17,DET,NO,13.5,0.6560735702514648,1,False,False
2019,17,TEN,HOU,-10.0,0.5349819660186768,1,False,True
2019,17,JAX,IND,5.0,0.6959940791130066,1,False,False
2019,17,LAC,KC,10.0,0.6381394863128662,0,True,False
2019,17,MIA,NE,17.5,0.525075376033783,1,False,False
2019,17,NYG,PHI,4.0,0.4686204493045807,0,False,False
2019,17,SEA,SF,3.5,0.47182920575141907,0,False,False
2020,1,ARI,BAL,7.0,0.5541695356369019,1,False,False
2020,1,DAL,ATL,1.0,0.472804456949234,0,True,False
2020,1,NYJ,BUF,6.5,0.5284722447395325,0,False,False
2020,1,LV,CAR,-3.0,0.4995863139629364,1,False,True
2020,1,CHI,DET,2.5,0.5533042550086975,1,False,False
2020,1,CIN,LAC,2.5,0.4713146984577179,0,False,False
2020,1,CLE,SF,7.0,0.49077001214027405,0,True,False
2020,1,TEN,DEN,-3.0,0.5285173654556274,0,False,True
2020,1,GB,LA,1.0,0.47650519013404846,1,False,False
2020,1,HOU,KC,9.5,0.5361022353172302,0,False,False
2020,1,IND,JAX,-7.0,0.5105404853820801,0,False,True
2020,1,MIA,NE,7.5,0.5472759008407593,0,False,False
2020,1,SEA,MIN,1.0,0.4829709231853485,1,False,False
