season,week,team_a,team_b,spread_a,is_home_a,mu_a,mu_b,p_t_a,p_t_b,edge_a,pick,p_pick,covered,result,units
2024,3,DEN,TB,6.0,0,-2.9913068,2.5189893,0.5886885719722713,0.3977143437174637,3.008693218231201,DEN,0.5886885719722713,1.0,WIN,0.9090909090909091
2024,3,GB,PIT,3.0,0,-1.6653775,2.2311392,0.5396407455902335,0.47713491788535334,1.3346225023269653,GB,0.5396407455902335,1.0,WIN,0.9090909090909091
2024,3,HOU,MIN,-2.0,0,2.312697,2.7457783,0.5093040799155413,0.6379642335963023,0.3126969337463379,MIN,0.6379642335963023,1.0,WIN,0.9090909090909091
2024,3,LA,SF,6.0,1,-0.36523965,1.246269,0.6622764292595685,0.3618152545712573,5.634760349988937,LA,0.6622764292595685,1.0,WIN,0.9090909090909091
2024,3,LAC,TEN,3.0,0,0.89402115,-2.9732897,0.6140619256364941,0.3286558357398116,3.894021153450012,LAC,0.6140619256364941,,PUSH,0.0
2024,3,MIA,SEA,4.0,0,0.72617656,3.1797338,0.6374204956314131,0.4756082661302026,4.726176559925079,MIA,0.6374204956314131,0.0,LOSS,-1.0
2024,3,NO,PHI,-2.5,1,2.1043584,0.7948714,0.4882286859349715,0.5969427333908542,-0.395641565322876,PHI,0.5969427333908542,1.0,WIN,0.9090909090909091
2024,3,NYG,NYJ,6.5,0,-4.238696,1.4297339,0.5669313347822951,0.3530812897812262,2.2613039016723633,NYG,0.5669313347822951,1.0,WIN,0.9090909090909091
2024,4,ARI,SEA,-3.5,1,-2.617851,1.2541081,0.3248177428634602,0.6381951992148582,-6.11785101890564,SEA,0.6381951992148582,,PUSH,0.0
2024,4,ATL,BUF,-2.5,1,-0.015674617,3.4558787,0.42563393730904364,0.6708805087356642,-2.515674617141485,BUF,0.6708805087356642,,PUSH,0.0
2024,4,BAL,MIN,-2.5,1,3.9450586,2.8125787,0.5429071059165994,0.6535463255426801,1.4450585842132568,MIN,0.6535463255426801,1.0,WIN,0.9090909090909091
2024,4,CAR,CIN,4.5,1,-0.047379125,-2.1583107,0.6298000155083117,0.31065683008977707,4.452620875090361,CAR,0.6298000155083117,0.0,LOSS,-1.0
2024,4,CHI,LA,-3.0,1,-2.1618562,-9.378512,0.35057008219281494,0.3179503351995828,-5.161856174468994,CHI,0.35057008219281494,1.0,WIN,0.9090909090909091
2024,4,CLE,IND,-2.5,0,-3.8852437,1.2177457,0.3177739125249748,0.6090494945061344,-6.385243654251099,IND,0.6090494945061344,1.0,WIN,0.9090909090909091
2024,4,DAL,NYG,-5.5,0,-1.6753762,-1.7150123,0.2973992801428049,0.6109640120729327,-7.1753761768341064,NYG,0.6109640120729327,1.0,WIN,0.9090909090909091
2024,4,DEN,NYJ,7.5,0,-4.4447894,5.9852214,0.5900334052165183,0.4550324615516548,3.055210590362549,DEN,0.5900334052165183,1.0,WIN,0.9090909090909091
2024,4,DET,WAS,-3.5,1,7.175798,2.3213866,0.6078536369694614,0.66728899633348,3.675797939300537,WAS,0.66728899633348,1.0,WIN,0.9090909090909091
2024,4,GB,NO,-2.5,1,1.1719131,-0.2020575,0.46055265625603226,0.5680039322594262,-1.3280868530273438,NO,0.5680039322594262,1.0,WIN,0.9090909090909091
2024,4,HOU,JAX,-5.5,1,11.635725,-5.8666425,0.6756553642244201,0.48909122749290884,6.135725021362305,HOU,0.6756553642244201,0.0,LOSS,-1.0
2024,4,KC,LAC,-7.5,0,-0.820198,4.114398,0.26912696584409457,0.8030430286150387,-8.320197999477386,LAC,0.8030430286150387,1.0,WIN,0.9090909090909091
2024,4,LV,PIT,2.5,1,-2.5644984,-0.19317281,0.4980807056626301,0.42046351606469234,-0.0644984245300293,LV,0.4980807056626301,1.0,WIN,0.9090909090909091
2024,4,MIA,TEN,-2.5,1,6.2610292,-4.4906754,0.6102822128965308,0.4410080466414287,3.7610292434692383,MIA,0.6102822128965308,0.0,LOSS,-1.0
2024,4,NE,SF,10.5,0,0.18849477,3.7722156,0.7842014748091704,0.30885866566404885,10.688494771718979,NE,0.7842014748091704,0.0,LOSS,-1.0
2024,4,PHI,TB,-1.0,0,5.8077116,4.8306594,0.6396801411059312,0.6675371836904346,4.807711601257324,TB,0.6675371836904346,1.0,WIN,0.9090909090909091
2024,5,ARI,SEA,7.0,0,-6.7370143,5.154011,0.5078251918835995,0.4452639535261753,0.2629857063293457,ARI,0.5078251918835995,1.0,WIN,0.9090909090909091
